incident_id,datetime,date,time,area,system,type_incident,duration_minutes,impact_brl,severity,status,recurrence_count,customer_id,latitude,longitude,year_month,significant_loss,month,year
INC00001,2024-09-30,2024-09-30,14:11:00,Fraudes,Payment Gateway,Fraude,347,18753.05,Média,Aberto,4,CUST6122,-33.89911681565773,-51.16626071687512,2024-09,0,9,2024
INC00002,2025-11-25,2025-11-25,15:23:00,Canais Digitais,Mobile App,Erro,467,2430.54,Baixa,Fechado,3,CUST9153,-33.8809616728939,-51.18771600211429,2025-11,0,11,2025
INC00003,2025-06-18,2025-06-18,18:07:00,Pagamentos,Atm Network,Erro,229,22546.64,Baixa,Resolvido,1,CUST1973,-33.80590538067293,-51.19153573927878,2025-06,0,6,2025
INC00004,2025-03-13,2025-03-13,20:16:00,Pagamentos,Web Portal,Degradação,409,19322.59,Baixa,Em Análise,4,CUST5270,-33.847885109449486,-51.19535039603088,2025-03,0,3,2025
INC00005,2024-04-23,2024-04-23,22:36:00,Canais Digitais,Core Banking,Indisponibilidade,317,31158.3,Baixa,Aberto,2,CUST2408,-33.800277279537084,-51.18890437389657,2024-04,0,4,2024
INC00006,2024-04-23,2024-04-23,21:15:00,Canais Digitais,Atm Network,Fraude,107,6281.31,Baixa,Resolvido,1,CUST3288,-33.847518324963524,-51.16562929078644,2024-04,0,4,2024
INC00007,2024-02-12,2024-02-12,05:07:00,Pagamentos,Core Banking,Indisponibilidade,411,40043.36,Baixa,Em Análise,2,CUST9738,-33.84560635877097,-51.1406128194217,2024-02,1,2,2024
INC00008,2025-09-24,2025-09-24,17:24:00,Investimentos,Atm Network,Roubo,351,18424.96,Baixa,Resolvido,2,CUST2218,-33.86081569870672,-51.18118530727906,2025-09,0,9,2025
INC00009,2025-03-14,2025-03-14,11:14:00,Cartões,Atm Network,Indisponibilidade,305,15679.92,Média,Em Análise,2,CUST2420,-33.86899595812686,-51.111199115399735,2025-03,0,3,2025
INC00010,2025-05-31,2025-05-31,08:44:00,Cartões,Payment Gateway,Indisponibilidade,432,41368.59,Média,Em Análise,1,CUST4377,-33.874845444686706,-51.11916175687605,2025-05,1,5,2025
INC00011,2024-01-16,2024-01-16,14:31:00,Canais Digitais,Web Portal,Erro,470,33877.39,Média,Em Análise,4,CUST8501,-33.86565793838693,-51.14794728871909,2024-01,0,1,2024
INC00012,2025-12-09,2025-12-09,09:15:00,Crédito,Web Portal,Fraude,92,33439.54,Média,Em Análise,0,CUST5098,-33.854014891909955,-51.127579016918666,2025-12,0,12,2025
INC00013,2025-08-30,2025-08-30,06:16:00,Canais Digitais,Atm Network,Indisponibilidade,375,8049.38,Alta,Resolvido,4,CUST3738,-33.88080080497692,-51.16336714753013,2025-08,0,8,2025
